title,price,link
"Dell Latitude 5420 14"" i5-1145G7 16GB Ram 256GB SSD Windows 11 Pro Laptop Touch
Opens in a new window or tab",$184.00,https://www.ebay.com/itm/306412265360?_skw=laptop&itmmeta=01K83HMVY3SEBCQ1YHRX546NTC&hash=item4757981f90:g:i64AAeSwh9JogXSn&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f89fGBuWEew8asedwxco73CxPLm5hstK%2FJ0E92RUTqz7XMPQJbVinBOWUkHJInlUgK6xkCQYS44H8C97NkvdC5cpLS%2BgUcII%2F%2B58siRBtcvSWv0A97kVbpoxG3j97YFkZms2pfP%2BRMiUnEuG%2BbbVGTzlMqcXqJ1lE5OCtoMC4yWqmgrZDhP3C38g0994%2FJaZ%2Brs7MdipR2NLziDgaDH7u2ta6R5sTsOWdv4HR2KZk8ZA%3D%3D%7Ctkp%3ABk9SR7S_0_HAZg
"2025 Lenovo IdeaPad Laptop Notebook 15.6 Intel Processor Upto 20GB RAM 1TB SSD
Opens in a new window or tab",$239.00,https://www.ebay.com/itm/146493392451?_skw=laptop&itmmeta=01K83HMVY3GJ67876X29HGGGZ5&hash=item221bafc643:g:OrUAAOSweZ1n7bDV&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1f6B1uIQQdigWZtEofdUpttps5RFPf49hIrSr%2FkPH3hw36tJtf4jPsfsvYY7zoaRUAh00srKgZKh0Bl5lcwdkJcwygY01NWnpAIcvFhQ92aQgywj6iHsMEal439rjWp6sl%2FbmnSzwdB4bevcVZ%2B7kdti9DwAU75Ot%2Fpp0BpKh6vSJX0X%2BBEMNBB%2BbNOcrwDnoNgyHUYdKGsB9fkB96ZLgWP4aDCq4tWGkzmWULnM6r7IVM0rHHsivRopvAIRK9wfA2zGR5MScvFFnaVP8hxjV8U%7Ctkp%3ABk9SR7S_0_HAZg
"CHUWI- 13.3"" Laptop - Intel Celeron 2.8GH- 8GB Memory - 256GB SSD-HDMI Gray
Opens in a new window or tab",$134.39,https://www.ebay.com/itm/396320750534?_skw=laptop&itmmeta=01K83HMVY3K6YHM9SV8KTEERDQ&hash=item5c468ebbc6:g:ZysAAOSwXDpmIQcg&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dn8TL%2Bbqsx49yDRXzrQnMM7a9e5uYt3pV48ch8MW7rXl2nvZz7dlChnDYZSR%2BdibKuaE5iBes7HUs%2Bw8oLZ%2FKqrGuUUZcremuW4sRGDvuCsjrd%2BEUTHZQuvF67IkPQaOXlBDFLCxJ4E70F%2Fj%2BQOIadH7oDi0A28TVyfHytWcgjmAvbG9PEoKR9AF9%2FieXuXwqlLZruToguNTBdEuVs9zNseB78Yp9kmqaogPhOwzbSFFasFkuG9ed9KAtshHblfmw8OXTbnowUg%2Fihd81ryoYJ%7Ctkp%3ABk9SR7S_0_HAZg
"Lenovo ThinkPad T480 Laptop PC 14” 4-Core i5 16GB RAM 256GB SSD Windows 11 Pro
Opens in a new window or tab",$265.75,https://www.ebay.com/itm/256696935158?_skw=laptop&itmmeta=01K83HMVY30S5JA5800GBYNP4M&hash=item3bc45462f6:g:l5UAAeSwpxpo9zMP&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1djo5mGzCGB21PAZnVWfrwjNRGSSbLg4QDSaCo%2FHk5RXMiOq50oTs4BB8jSckNUyo1t5FHpe43oMeuYeHkINGTmMlISfw696sB8S4yZ8LO3a%2FvB5YCjCWQkZFaaqbVIFCGMWb5JJRJFy%2FqyHJeSfaVy4tTAOJqRFbcYQuW94tNEutBHErVtSNCmF%2F0MPxUGtFhz0sr57jBVNtDZnj%2FsY8O2SiWy39n5Tz58lgkVxTqpmA%3D%3D%7Ctkp%3ABlBMULS_0_HAZg
"HP ProBook 450 G5 Laptop PC 15.6” Quad Core i5 16GB Ram 1TB SSD Windows 11 HDMI
Opens in a new window or tab",$326.99,https://www.ebay.com/itm/256696935117?_skw=laptop&itmmeta=01K83HMVY3MFAEGJCJQ7NF3ZA9&hash=item3bc45462cd:g:1LsAAOSwOs1nI5v6&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dTND8H%2B3AYrfvoXtHkxctJ7q%2Ba8nNT0PS9Mr9jdJtT9xgSEIfPtbEgSXjuL7GTR6oQACJ2gLbArPSXNx7iO%2BBUwNg6OiIXaid%2FIBk6szZdDKVxOfR%2BBXnJX2y44PTu7NxXsp82Kir6Jz%2F0RqPCacEwmfIlkTXL40aaGdd%2FlVt94G5WUJvyefWlQlYG9YFBZPh%2F9lXbFtBdqObS5QtnI8T1X0DAuYMDJ9q2Sc1TiiOePw%3D%3D%7Ctkp%3ABlBMULS_0_HAZg
"HP EliteBook Light Gaming Laptop 1920x1080 6-Core Ryzen 32GB 512GB SSD Win 11
Opens in a new window or tab",$420.52,https://www.ebay.com/itm/256776833046?_skw=laptop&itmmeta=01K83HMVY3XF4QE18RKDW7MG60&hash=item3bc9178816:g:bZQAAeSwkR5okZdO&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f0kXZFpKZbd7CUvpWZebr7KycG60xqh0EzxiXMXtIU5qDS08RzVGzdxlvnkZWYCQBdVQhvr9l5yZh4QTG67%2BhmjGPrQwjdZTjs4w%2B2rfXASVVy9g2D10G5l1asaKnBDA9RcZPvROpORpa8DS4lyizukEphZty2%2FSLeBPaOzpftZV8eQQHaaB2SjBZguSip%2FLMun5k0XUNGgsHB7LZaq8YmM31lH1qg9kw6gk9PLBMHqg%3D%3D%7Ctkp%3ABlBMULS_0_HAZg
"Acer Aspire 3-15.6"" Laptop AMD Ryzen 5 2.8GHz 16GB 1TB SSD Certified Refurbished
Opens in a new window or tab",$294.39,https://www.ebay.com/itm/266889342994?_skw=laptop&epid=18068847248&itmmeta=01K83HMVY3VKERW3B7ZN6NACNB&hash=item3e23d83012:g:fNUAAOSwN91njmwe&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eYLT82GwiMxB4J3%2B6Oa83imsD2u51q3catKQlBsRQmCNSpl74qEY%2BcwtwLCDrVkyZOExtBiS4r67gyUBLuSth8CDhU3fsLjthk3kyt85%2BjjuDyerL6jmE34qLCrQ33jGN2S4tobdHEehniAP2Rma2pEQtMDY%2FGoUE19XInP0TO6MIoWaMULYWJMtR9VrlBbQX1EeCmSOOp8LoTGWN%2B8O0cx6rb3Yw81fSLx%2F5ZIFWEMWS%2BKNZXCM7qJuaAQUnBQUKL3z%2F9Ptx1YKKEuct4RVj2%7Ctkp%3ABk9SR7S_0_HAZg
"Acer Aspire 3 15.6""Laptop AMD Ryzen3 2.4GHz 8GB 128GB SSD Certified Refurbished
Opens in a new window or tab",$183.99,https://www.ebay.com/itm/256195038210?_skw=laptop&epid=10062450742&itmmeta=01K83HMVY388K11J8YQ33Q85G6&hash=item3ba66a0c02:g:1mwAAOSwYKZnYJYg&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1drdmKY1zfTquN9rNJCAX9DiiqSz6pMYqznyYwm4%2FdK7mGVyE5HP948ePE4FE3VVWr119t6yLGHKUvL0bXzyw%2FhzqmzZkL2o4QecQwqjAmY5M70RhV0%2BBa%2BMIyZeUVzRmubuCZIThwiSgoaNVoy5NQ4%2FaVI6Ewbfi1%2BXVffy3zGZ4BVQoucMzIcj4Q7IB%2FU%2BpilUNUqYwd3iknB8sy2HMwEFJZtBaH%2BrFtPuLrqE9FFWQ%3D%3D%7Ctkp%3ABk9SR7S_0_HAZg
"Dell Latitude Touchscreen 2-in-1 Laptop Pentium 8GB RAM 128GB SSD Windows 11
Opens in a new window or tab",$142.13,https://www.ebay.com/itm/256245941032?_skw=laptop&itmmeta=01K83HMVY3R8CFC6KYYC78RDQH&hash=item3ba972c328:g:WhEAAeSwaZNot9lU&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fQc0%2FD%2FtALqv7uJ%2BXA3VqcA0xXUD3IbDGbgRXMB2H7Z2wPAZi%2BAubKUmq7lBPetMY3BxEeeqSevlLwp1Zp2JsAufIGqj0Txsyo%2F3BRUmCmIOygt9fPgnR5TsJ816jtUBw1H5phAEw4WtCm32kHtIqRYWTZ18x5Elq4ZwJzJ3yky1yNQ0T7z160rjd6Z1TP5FmWpTiouHkIl7L%2BhXwrQ0gqkCvpxos5CrzHERe79T4sYQ%3D%3D%7Ctkp%3ABk9SR7S_0_HAZg
"NEW LISTINGLenovo 300e Chromebook 2nd Gen 11.6"" Touchscreen AMD 4GB 32GB ChromeOS Tested
Opens in a new window or tab",$29.99,https://www.ebay.com/itm/127442271222?_skw=laptop&epid=18047306255&itmmeta=01K83HMVY31C6MHC65CHC35Y5A&hash=item1dac26bbf6:g:dZQAAeSwWyNo9k1r&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d17bMmzmIDN1cDQYyZ0gvT1stUhkWbi8LepLa%2Boe3tVLRmxzvmbOjUDiERQnWPXdaecdL7r1zXFijlt3lySUbcqZZfIHNDBY4t%2FLpthgVC2CCnxkDI4Ld%2ByqjoO5%2FLpVMY%2BipSAq%2FnIrgnkHG5HglQL2UinpRbGxnfqrtj8Gepu%2FYAvMcTG%2FpS94jdb9u68Os9SsGZg%2BqWlUW5Iuu%2BBky7DABq0sUj0Rh%2FyVK7v7B9gw%3D%3D%7Ctkp%3ABk9SR7S_0_HAZg
