title,link,price,condition,processor,ssd,gpu,release_year,screen_size,ram,model
"Dell Latitude 5401 - 12"" FHD - i5-9400H - 8GB - 128GB SSD - Win 11 Pro - READ
Opens in a new window or tab",https://www.ebay.com/itm/177535155929?_skw=laptop&itmmeta=01K8Y89AKNX27DDTTA1CXRG4V4&hash=item2955eb7ed9:g:AWwAAeSwqGdo-jf7&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fFi6053642ojqCSiTOCDSQmgwCG9LtuNx1yESeosfqM%2BzzDfrMAGqgceoA%2BsXRJqbABClQpuBhGGp5CTE3aJn07UEiOK%2BXjRTz%2FRVwAzvdwFlTGdttqLvv9TxtuBSZBfHKMNn9U%2Bd%2ByohxzCN4Wh6PAGa4k%2BKyO7b7HNwNzZiTZPQUMatLNC8uvsKMqfbgUeIdpGyhp6ObsszNK%2F4Y7pZRnSihJH%2Buz%2Fun5rELmxgtOA%3D%3D%7Ctkp%3ABk9SR5yqpcjHZg,$65.00,Used,i5-9400H,128 GB,,,12 in,8 GB,Dell 5401
"GIGABYTE ax211ngw 15.6"" i7-13620H 2.3GHz 32GB RAM 1TB SSD GeForce RTX 4060 #3533
Opens in a new window or tab",https://www.ebay.com/itm/267453406121?_skw=laptop&itmmeta=01K8Y89AKNRW1YQJSAN8X9RA3G&hash=item3e45771ba9:g:oMsAAeSwXGRpA69S&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cZgM4Rx0GB5vODi4XAo85H4y4h4S1Nzqp%2B5gnNKRFoJ9YmanrVPOddXclRDeIsnCwSYwufg%2B2ISMbXdfzsCzbYBEmg0Iq%2FNQAxoSMKeF7q4qjRR5krTCko0WKSdrv%2BC%2FNesDbrAZF9UYHmA9ewcROJA%2BGYTjuY468Jg7Y24nc28eqJeGXowCfbzbW9uPXIUFbTqM9lXVf09TJ%2BSEa%2FyMHy0jK1z985r6mP95%2B%2B%2BJ%2FXng%3D%3D%7Ctkp%3ABk9SR5yqpcjHZg,$299.00,"For parts or not working: An item that does not function as intended and is not fully operational. ... Read more
about the condition",i7-13620H,1 TB,GeForce RTX 4060,2022,15.6 in,32 GB,ax211ngw
"Dell Latitude 3310 13.3"" Laptop Computer Windows 11 PC Core i3 4GB RAM 128GB SSD
Opens in a new window or tab",https://www.ebay.com/itm/254721073657?_skw=laptop&itmmeta=01K8Y89AKNAEK0C74NTDV2CR8T&hash=item3b4e8f21f9:g:1OMAAOSwFZJn2iKk&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ev1OXepLBYfJsTgfb8JWVm8rKKzdCDcOWxyOAWpKDupa14fCB28ttqurI6nSRZsrwdoI3vlBzGvHtKFMIJNJMg0oGXCqkIexn8VDFKYQIU69Dq3ClnJglcYPIQ2ykHofzUnDx84mOvH9MbHyaPdu0dc7%2FkrnhR%2Fv7kMKWcD3fUDQ05rDt01F7L314XNSfsStLWH%2Fv9v%2FYMqWdZMw48Uvyc5FDPoC%2Bi3EQ%2FDLiVdb28wzZii1LOBzcbbnIAuQ90aJ1Jw0QWK6M8raflw8YmPb1I%7Ctkp%3ABk9SR5yqpcjHZg,$129.35,Good - Refurbished,Intel Core i3 8th Gen.,128 GB,Intel UHD Graphics,2018,13.3 in,4 GB,Dell Latitude 3310
"Dell Latitude 14"" Laptop Computer Intel i5 Up To 32GB RAM 1TB SSD Windows 11 Pro
Opens in a new window or tab",https://www.ebay.com/itm/286601719329?_skw=laptop&itmmeta=01K8Y89AKN9XQHA8JFT0WCW3GJ&hash=item42bacb2e21:g:MfQAAeSwfo5o1qdZ&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dhGFRw68%2FE23Mp1GaNLtpTWnJ9yyofBHaH4Yndm3Gb9jEytWS7p4nm2a81DbhwWaiHbi4NJ%2F5s%2FHV1k2fx6EmC3JvLH2lGH8irEJLOMWX1tDQ4U9dq5FT6%2BMhIsk%2BG70BQTwHABLe9xQCqZ76kIny%2FYOGswrTnUnAATUkQVqOMtbBzw4XvfzZ0guIGJnxznQn5LXwJH1dZR8QZISm7bGTMeDWZNROh5QJSou1Pu1dOoA%3D%3D%7Ctkp%3ABlBMUJyqpcjHZg,$179.34,Good - Refurbished,Intel Core i5-1135G7,1 TB,Integrated Intel UHD Graphics,2021,14 in,32 GB,Dell Latitude 5420
"HP EliteBook 840 G7 14"" Touchscreen Laptop, Intel Core i5-10th Gen, 16GB RAM, 51
Opens in a new window or tab",https://www.ebay.com/itm/197720826902?_skw=laptop&itmmeta=01K8Y89AKN5DRVMNVWVBMZHQCT&hash=item2e09146416:g:nOMAAeSwxwRozXsS&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f5AcMcvWqap8MtFyEE%2BuK7gRbIlyF3aIQlwaPRw9%2BLlAheE6HOHYAhDLsdtXSsaxgxtisF6iVHWi%2FjAC6YCfswTJxiKYBR775FQdRmJGz4qMp344Vmaa42ynsEtSZImsg8omLuL9HPU%2FNcKyY%2FnbaR2avXBOesZIDb6LR52vKZLJ36GO5feI895DjbSfXthbOwRofAkuFqLZH6bevhuIWOzAk71I6wEjfLVarc7WBnYA%3D%3D%7Ctkp%3ABlBMUJyqpcjHZg,$333.00,Used,Core i5 10th Gen,512,Intel Comet Lake-U GT2,,14,16,EliteBook
"HP X360 11 G6 2-in-1 Touchscreen 11.6"" Laptop Core i5 8GB RAM 128GB SSD Win 11
Opens in a new window or tab",https://www.ebay.com/itm/265038069230?_skw=laptop&itmmeta=01K8Y89AKNZVW7KCXHX2T538MZ&hash=item3db57ffdee:g:Yk0AAeSw38xo-Hmv&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eWmgIZHrFYX%2Ft%2BoVzBNsLwW57aZ5G4bZ3VrjQ7zLeMpZJz6Vv%2BARHmN0styjuf7eVyemFNhAHX7UVFIU9wLgmOfejsQ4R32n3MIhL4poxKf6syDgf1RlpYzJBk01pnvMaeKqZcGUsF0GNKgED11t%2BiJJ71sFAhwRmB3eWF3o5rcLRKsaGvIpMqn4Dge9q4mWU9xlCfG1nla6LC2t0oo0FnvWcKMb9MRhcwL%2BAjitWs%2FQ%3D%3D%7Ctkp%3ABlBMUJyqpcjHZg,$179.11,Good - Refurbished,Intel Core i5-10210Y,128 GB,Intel HD Graphics,2020,11.6 in,8 GB,HP EliteBook X360 11 G6
"Lot of 13 Used Laptops – Toshiba, Dell, Lenovo – w/ Chargers – $10 Each or $100
Opens in a new window or tab",https://www.ebay.com/itm/326811607399?_skw=laptop&itmmeta=01K8Y89AKNFFDZCXD8D9RABQZQ&hash=item4c177d6167:g:oG4AAeSwwb1o6Rwt&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ccW7kZ94sL08nQZSi1S0KB4tmocohLZB68z%2Fj8wcDlv2UJWM1YAdbXYUOJuSqqw8Xx5u9BPatDsyQNG5pQeUU5S%2FTs7byrMT6mFdA0YiWrdgZszES7rkt8raxWBP85SCXaG75tE1xasA68MZZdNbSRaXNeXKEPrLIZXv5TN7cp8HFT6STsCgzl7yOjK2HO37w5Ca4lzxbv0ODB2J68RaTh15iccLx8JNFa4jznc3Mdz3kTEIJmQAbZmddrqKNE1s4lVyIDnXsv9nQA%2BsgcAOzC%7Ctkp%3ABk9SR5yqpcjHZg,$10.00,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more
about the condition",varies,,,,varies,,
"Dell 15.6"" Touchscreen Laptop Windows 11 Intel Core i5 4.40 GHz 64GB RAM 4TB SSD
Opens in a new window or tab",https://www.ebay.com/itm/335720448847?_skw=laptop&itmmeta=01K8Y89AKNVW2HQS7B6KWDQRPH&hash=item4e2a7f834f:g:SJ4AAOSwH5poBr2V&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fTwFRQsjIc%2Fe5Xo2mKsbOzTO2jlQ7MTQN3f8wF5sFgpoNTrwh3LyV2qZhGzXsc1opkS9%2Bb4TN82FDNDLBUvaWEEJxrNOLCu6ogHWOZdcgveBCHLYJ98xeXLe2VO7npAoQhsLgPngkahcsj%2FMJO3W6p6AFDGmvpZIVR1TW0EwOQ0TkZ029nBTkAu55fkTEeKXcH9KK7rS4eNpkNypEevxtjULapsMtujOx381sHwlueIA%3D%3D%7Ctkp%3ABk9SR5yqpcjHZg,$319.99,Very Good - Refurbished,Intel Core i5 10th Gen.,,Intel UHD Graphics for 10th Gen Intel Processors,Refurbished in 2025,15.6 in,,Dell Latitude 5510
"Dell Latitude Laptop Computer 13.3” HD Core i3 16GB RAM 512GB SSD Win 11 WiFi
Opens in a new window or tab",https://www.ebay.com/itm/286101111453?_skw=laptop&itmmeta=01K8Y89AKNGAYQKZ8HDXG2YQS5&hash=item429cf4829d:g:5gEAAeSwl7NpAZ8U&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1etYN1x20%2FheY7Qhciy4Bei0E5zxLaLMUdH2DagZBL5DWF2YJFoiRj2GPcLaf4BBYjpJPl4BT2pFz90JRlEbe8J%2BuUUdyXgtVFuI%2FOHLIL6FRtifIhrpR7dH32z7u6M74eeys5zIP8%2BFicxJvxKpqZLk8Qszbzs7jUPkhJ93E2WU1F4kxKWJk82yYaSLTOnqq3ByuE69GW3Bo1utnYkbvu0ndaye%2FccG8j1W7l7qxZoA4L3qwukkC8aOQXkG2LDPdEQv152Xv50h0%2BQ2iwuwZfN%7Ctkp%3ABk9SR5yqpcjHZg,$214.89,Very Good - Refurbished,Intel Core i3-8145U,512 GB,Intel UHD Graphics,2018,13.3 in,16 GB,HP EliteBook 830 G6
"Dell Inspiron 17R 5737 Laptop Intel Core i5-4200U 8GB RAM 128GB SSD NO BATTERY
Opens in a new window or tab",https://www.ebay.com/itm/297723955981?_skw=laptop&itmmeta=01K8Y89AKNBNSFA20RTX4PDB06&hash=item4551bb0b0d:g:YRcAAeSwcUBo98Sz&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cSLAlVxtgyXnBLfmGQBR7mdX3gcFP5plW1ouZgAtthlSye0LI5YvZZ%2FMTR1qnTBC6ZPRCU%2FirLnEgVeFzAuERx9e6r25wcajurWzdXlGSut9Yl5hZR%2BsAO%2BMVjwjQd0GBF%2FtwGhTVJpQ0tU7tXr%2FIwGwLgghwLl1kImFFGwoiUbeb7jtbKbQ72ksAyAOQso7SAi8f0FBpKB8o6pq7VR%2F4QY2LF%2FY7hjpAofxox%2FG0EgvF4Jt6cCSKwbOJDRCGup0fgErrnjtZcb%2B9VvdNxjqvw%7Ctkp%3ABk9SR5yqpcjHZg,$49.95,Used,Intel I5-4200U,128 GB,,,17.3 in,8 GB,Inspiron
"Alienware M17 R5 Laptop 17.3"" AMD Ryzen 9 6900HX, 16GB RAM, 1TB SSD, 3070 TI
Opens in a new window or tab",https://www.ebay.com/itm/389113155714?_skw=laptop&epid=21061115439&itmmeta=01K8Y89AKNBHM119NAPENYPDR6&hash=item5a98f39082:g:tMIAAeSw6Zho9BWo&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fmDO4vX5gEVGio4N4JuR8tt8mJjJGHSflEgEW9W9UAkfNHojfYEvzt925nc5P5Favtvubu9CDMq2wcOZF8zSjMYh1yu0miLfzTYeV2fpd5JR9c79MpAkLmDIA7DTaY2%2BE1wFDtXI3H89nmULzTDirvbT3AUMIkCrFqMQxw7D48II68cjxkhNFkulwakpGR3USbJBpMvInbsS5lhzDuhB%2Bl4On2nh67HLoqahvq%2Fg6vew%3D%3D%7Ctkp%3ABk9SR5yqpcjHZg,$500.00,"For parts or not working: An item that does not function as intended and is not fully operational. ... Read more
about the condition",AMD Ryzen 9,1 TB,NVIDIA GeForce RTX 3070 Ti,2022,17.3 in,16 GB,Alienware M17
"HP EliteBook 850 G4 Laptop i5-7300U @2.60 8GB RAM 256GB SSD
Opens in a new window or tab",https://www.ebay.com/itm/326836329551?_skw=laptop&itmmeta=01K8Y89AKNG5HSV0THFT62XFYR&hash=item4c18f69c4f:g:kuIAAeSwy2Zo~riX&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cYcCSdSB7ms5dSFY3Ghuhoq2QSGfmIvIRusyeX1EfJMBhLI5MqkWB6AQE8uOWgSXnR6iqaZxwPLrG71B5kQXc7JIl7aOA1Ky4WTOzgUf2p75WIZ587iVEuqKMaBTpqSfugXC22V9OuhJ1WaBcfBtUtTRNA53t%2FI3vtYxidaNh%2FEfk3SPOsMY9dLmBQjiqs1tb5ykDYZT2QsWLSqDkIOFrvHfoJ4qdJsb%2BXuQ9UitZWwrDyNfzhpueYuNJkYmot%2FCaSjHSK5HAxUjLPlNPHaS9E%7Ctkp%3ABk9SR5yqpcjHZg,$39.95,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more
about the condition",Intel Core i5 7th Gen.,256 GB,,,15.6 in,8 GB,HP Elitebook 850 G4
"Lenovo ThinkPad X1 Carbon 7th Gen intel i5-8365U@1.6GHz 8G RAM No SSD
Opens in a new window or tab",https://www.ebay.com/itm/146921942743?_skw=laptop&itmmeta=01K8Y89AKNDFAM68WBH35YFP0W&hash=item22353aeed7:g:0hIAAeSwBnho-B9R&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fRkkGwUObCqPqhwMRG%2FLNdWkE%2BMZvQwd6uwKjuqxrvv%2BSvXFNZ4cVZrQdbVMoJqBZYQ6vxKcDBw%2Frs34p2hkvOethciNpmGwZUU1QFFPBhnWqfWFTtGF2jnyuf5K74uRX5uLPsLeaVL%2BIM1q%2FOOi5K31RYDQpV2aTNClxVYXgWY3lPgXTOnXxImw2eakkdxAJqoKBY04%2BEjkhLfY0lFL7GXzSsDV%2Fc8OSmWlsOPPX3uw%3D%3D%7Ctkp%3ABk9SR5yqpcjHZg,$80.00,,,,,,,,
"2025 Lenovo IdeaPad Laptop 15.6 Touch 10-Core Intel i5 Upto 40GB RAM 2TB SSD Pro
Opens in a new window or tab",https://www.ebay.com/itm/146927760267?_skw=laptop&itmmeta=01K8Y89AKNR90ZVR4Y7D3TDJ95&hash=item223593b38b:g:muQAAeSw4ulo1FV5&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fwJQ5VnOAJbxEz6RIN7F%2FwW6UxlU%2BvvsuVyi6yVoiPNoUPJX%2BmMB3ypVBNZ2NiX--YAf2TfpMNSt4ov%2BebKnHMqHXAIqFuhpuCVBnFxpf2lQriM0zwXoHIMln7jyNHMW8h0XomZ%2Bg2XvZg7hPcsT0O%2FjfcKXbjYmCMRW1eFPfu5wd8BVwtcbMdRsIf4X71LDH4abbM9%2Bux0htqBJtWvH5ZvI%2B06WnrC%2Ft6FTbCNtiI2rjaesCjp4bucFPWp0HK8wCUBR%2FXWCxhWJwuRmf9o4Um%7Ctkp%3ABk9SR5yqpcjHZg,$439.00,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more
about the condition",Intel Core i5-1335U,Up to 2 TB,Intel Iris Xe Graphics,2025,15.6 in,Up to 40 GB,Lenovo IdeaPad 1i
"Dell G16 7620 Gaming Laptop Intel I7-12th, 16GB RAM, 512GB NVMe SSD, RTX 3060
Opens in a new window or tab",https://www.ebay.com/itm/389129873311?_skw=laptop&itmmeta=01K8Y89AKNEDZCXPEH1RP7PWX4&hash=item5a99f2a79f:g:sfoAAeSwAf5o-Miy&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f0seoaqtHQNANWCQYdwZyotCm4LOy8nRGBC9uwuOI9lw04jvQDYogX%2ByyGuPlOURUjmbzmkUawE9lDreYLzEu7pmVKp044j2nBdFh5vPvAlnfrZ7Xd5h%2B2iIdvpq1ghrnlsHqB%2BcDuJFJxM3q%2Fk%2BfpPS2vqwcrSd7vsasnvAFU2GspPuFGyDA3bjnVpMIFMw%2Fo6QgqZ0aGSWe5Br8CP5OJKXXqv4SAqm5io8M%2FrVNUJQ%3D%3D%7Ctkp%3ABk9SR5yqpcjHZg,$530.00,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more
about the condition",Intel I7-12th,512 GB,RTX 3060,,16 in,16 GB,Dell 7620
