title,link,price,condition,processor,ssd,gpu,release_year,screen_size,ram,model
"NEW LISTINGDell Latitude 5590 Laptop i5-8350U 1.7GHz 16GB RAM 256GB SSD Windows 10 COA
Opens in a new window or tab",https://www.ebay.com/itm/277476763218?_skw=laptop&itmmeta=01K8Y89AKNEASMADKH5A055WG6&hash=item409ae76652:g:uBwAAeSwRqtpA7gc&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ePGrjgZCApNCF8J%2BDOVpaG20TG0iYjakbcBz2V4bRie9pEDdNUJp4OoKCpZc1jP6ArCGDczshSbQQmxKFQCc6LmY63r8lsxlidBuawbvLtDKY%2Bq0XfxVdNgSwdRXG9gE39XqSufvmxQN1iTRlo8s%2Fx%2BOWzZWIWR%2FmYMdTxbkAjCqknoCz8q4Q0XfsvT1RrM8pbA8D1HzxyteVCHoeBN%2BUP%2BexDYQA5aOyLcqzeDvDhBg%3D%3D%7Ctkp%3ABk9SR5yqpcjHZg,$84.99,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more
about the condition",Intel Core i5-8350U,,,,"16""",,LATITUDE 5590
"Dell Latitude 13.3"" Laptop : i5 8th Gen | 16GB Ram 128GB SSD | Windows 11 Pro
Opens in a new window or tab",https://www.ebay.com/itm/187694025679?_skw=laptop&itmmeta=01K8Y89AKNJXWCT5Q5BD2QPRCS&hash=item2bb36f8bcf:g:WAUAAeSwKvppAjaO&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dgZ7tL4T24OFYUsEKEiOCuwHZi8uz7QLh44LgQ%2F9o9QQUxrkzh6lb2shiw53CSJZBvIZknG7QrDoiaortCbGpDx84m%2BzMoGAlvLsSRjxybjifbo0Rrxo5R09hplrx4YOtOLzcv0eKPcBqDmVS3%2BH%2FPOcp65u3coKOId7G6EIRL3eYe488xy7eOY8KqjdYXEr%2FdGfl%2FMD3h1xFRJWX1VLxn2fM0OfBX0oqegu3EK7NWoG61n14hLq%2Fm0cpdGZ2GWGVrA4HEKmWjiM7ez0J3ss5A%7Ctkp%3ABk9SR5yqpcjHZg,$99.99,Used,Intel i5 Quad Core Gen 8,128 GB,Intel UHD Graphics 620,,13.3 in,16 GB,Dell Latitude 3310
"Asus ROG Zephyrus M15 GU502 144Hz FHD i7-9750H 2.60GHz 16GB 1TB SSD RTX 2060
Opens in a new window or tab",https://www.ebay.com/itm/389156785150?_skw=laptop&itmmeta=01K8Y89AKNXXNH7QYSVZWE1KKA&hash=item5a9b8d4bfe:g:umQAAeSwoS1pATiO&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fXLHiNuIs4dGC7%2FNW7OQvNnHZ2ozuC0g51lgv8l9Q5P08kTDNeO0chFl9c6nR4K9ubFofHz%2Bnkk2nxw8KlG6sKg%2FusmbLstbHYmUO3YQn6uqdc6HZdg6TYfIPeRpl4rF%2FobjssgRgIJCI%2BN5eok09P%2BHIbErArVj3wwX9UUMUaiH%2FDAhNzXdrwZXbZj1lOUssQZFZUza6COkUZfRDro0yYcnyhh%2BgmGgFEeueGijM%2BgWlq5vgm5nOf3EBg7nYq9%2FVueBX4QkWoR2sIsBPbSzw0%7Ctkp%3ABk9SR5yqpcjHZg,$375.00,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more
about the condition",Intel Core i7 9th Gen.,1 TB,NVIDIA GeForce RTX 2060,,15 in,16 GB,ROG Zephyrus M15 GU502 15.6
"Dell Latitude Touchscreen 2-in-1 Laptop Pentium 8GB RAM 128GB SSD Windows 11
Opens in a new window or tab",https://www.ebay.com/itm/256245941032?_skw=laptop&itmmeta=01K8Y89AKNBJ8S9FAAPKFJ76TS&hash=item3ba972c328:g:WhEAAeSwaZNot9lU&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f2GhLtmwH2rdXvfUqH4wCtBPaM7XD5ddnzh5Pz1Q33U8RQprr7HRMA28uvMoy4x5Mva5%2BV%2FmCK6iAkrFCSbAdkoVch%2Bxr%2BGJivbYdE4N4ueoAOzBNXh8MaLHF3Gd%2FJllhtuo2DYspGE6NAcPMDN29Wyix7uZaN0M7B32O7GMzyBrjJMcXqC7KtEweR4h6ShBLeeN1ELVS0BLo6IuWzQzr2KneqVg37mezyz2BAmidiIw%3D%3D%7Ctkp%3ABlBMUJ6qpcjHZg,$141.43,Good - Refurbished,Intel Pentium Silver N5030,128 GB,Intel UHD Graphics 605,2018,11.6 in,8 GB,Dell Latitude 3190 2-in-1
"Lenovo Yoga L380 Touchscreen 13.3"" Laptop Core i5 8GB RAM 256GB SSD Windows 11
Opens in a new window or tab",https://www.ebay.com/itm/256237065212?_skw=laptop&itmmeta=01K8Y89AKNW3BYREZYF10ZHG4C&hash=item3ba8eb53fc:g:MqQAAeSwNkRo-d9H&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fbi0Pf8YdLdOo8LGwlgCxFnlerzUE0QNpmdgVm4fSH8gxov%2Buj52RS3waI7tqAcuQ%2FX9tEEUDLYK0c2lcU76Bz9WhaBdIasp%2FLyY0tiJG5uc9z5wSVORuqTgRr0%2FSHsuwW5nG%2Bq4rhCSUrK5CmJenPN8qlYxLsosP3LGMiVUkb5HQwf4ZeVaMRwCvdj1V1S6%2FW2ZMwo1fWqdVPbAgSyvDf0Xf7LAO33dboE43b1JnMOA%3D%3D%7Ctkp%3ABlBMUJ6qpcjHZg,$177.94,Good - Refurbished,Intel Core i5 8th Gen.,256 GB,Intel HD Graphics 620,2018,13.3 in,8 GB,Lenovo ThinkPad L380 Yoga
"Lenovo ThinkPad X1 Carbon 14” Laptop Intel Core i7 16GB RAM 256GB SSD Win 11 Pro
Opens in a new window or tab",https://www.ebay.com/itm/256942721121?_skw=laptop&itmmeta=01K8Y89AKNWE5JC5KPMDDGSF4Q&hash=item3bd2fac861:g:z3EAAeSw8FhpBEPP&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dAIWcAqagTAAHA9BDV0aVDWOvq%2Fv2jowy3Uu6ZF5q%2B3C3J8%2Bwhj7v%2BLLL27w1st5Yh5Y5f87id4pNAsZ6MDjGnR2SNUgsr3o%2FqR6vgO%2FR2BdfkUa7aIEbGwLWCsbLwivI9vIhBaFciHRdy4JnL%2BOLd6qyw%2BtFbAxEANjGvbOsKuQT4e2dk2iM9U2gNpqVN5WQuYAM4Q0np4JK2V5GVAqiOTBKI3R1ZM1JF89vjm0Xu3g%3D%3D%7Ctkp%3ABlBMUJ6qpcjHZg,$285.06,Good - Refurbished,Intel Core i7-8650U,256 GB,Intel HD Graphics 520,2018,14 in,16 GB,Lenovo ThinkPad X1 Carbon Gen 6
"Lenovo IdeaPad 1i 14"" (256GB Storage, Intel i3 12th Gen, 8GB RAM) (82QC004BUS)
Opens in a new window or tab",https://www.ebay.com/itm/386820867964?_skw=laptop&epid=28057971522&itmmeta=01K8Y89AKNQ1YA9FAGJBRVZWG1&hash=item5a1052077c:g:BSAAAOSw1GxmxQQV&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fqFD9PvqTkgHMxyC4UwmddUwtUF4f30uKFf4D2yXjI0yceROQDMRAL74ymr6HF4rEx43P4xO0o8mC%2FEpMmsHdbHC5mC3bQf0IhEtY1wn1n9Hy0F5r%2Bw%2BvPgMt6d9AVh0xTUaI0msYf6knXhdaaHcNHSbK%2BdIxDCGndZ4yOPEhXnuvbswiO8uug7vi1VxuztkbZ5dcUCC95Azj4Ny5W6gmDorJ5eLZ9H2Jqxrxn5pieXg%3D%3D%7Ctkp%3ABlBMUJ6qpcjHZg,$209.99,Open box,Intel Core i3 12th Gen.,256 GB,Intel UHD Graphics,,14 in,8 GB,IdeaPad 1i
"HP X360 11 G5 Touchscreen Laptop Intel Pentium 8GB RAM 128GB SSD Windows 11 Pro
Opens in a new window or tab",https://www.ebay.com/itm/265369330737?_skw=laptop&itmmeta=01K8Y89AKNN1BH0PSAKJYPGBBG&hash=item3dc93ea431:g:gLkAAeSwGuRozQwn&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1er%2B7kHXoLMhUBYXcip9mNdBTo0Ok%2BPZXXWRSfhzOR68%2FdyjOYj5iHcM1P%2FoTGYfhkNoQv8mI582sGmZvLwwIs634Al4C4nuWjI8O%2F9NCsUMXgAoDVa6Ea4VGE8%2FID2tdULC8IAwoe6HliGBi74F%2FjrW6Gf6xFO7GruABKbhGdxZ6rLnjLbmVFrGr4ygSxubK1fwjq89B7sQXKggkPXi0TCkW%2FqsBzfBQS8DfT9Rlxm%2BQ%3D%3D%7Ctkp%3ABk9SR56qpcjHZg,$159.83,Good - Refurbished,Intel Pentium Silver N5030,128 GB,Intel UHD Graphics 600,2020,11.6 in,8 GB,HP ProBook X360 11 G5
"2021 Dell Inspiron 3502 Laptop 15.6"" Intel Pentium N5030 16GB Ram 1 TB HDD Win11
Opens in a new window or tab",https://www.ebay.com/itm/277463943903?_skw=laptop&itmmeta=01K8Y89AKND302B6DPZCXD902H&hash=item409a23cadf:g:OwAAAeSw81xo5BA6&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eponChPI9cGIDGKgddLkB9BPCj6Ez5XKx5UyYzbuz19J%2BDqcwJZshChIYiSmsIcc4PWZmguwarE%2BkltLYBcArL%2BXyI8UR207p71VvlDxWggcz0OrTDxj%2FWPcZB23XwxFdZJ9bSlBO5V8fbzf0avgdSegrG5flMEXN6VvxfnsbuktH9dE4R62GpRtN2Mb1h1KIoaRmaKGyXi0vfY7JoRuWQsa0EcNnuoUPcCAUMcrJdCrfSSHzntdjfSl8bMuknLDnjYwgPmiBUOtjYV0kks8Z%2F%7Ctkp%3ABk9SR56qpcjHZg,$37.00,,,,,,,,
"HP Notebook - WXGA - Intel N3520 - 4GB RAM - 750GB HDD
Opens in a new window or tab",https://www.ebay.com/itm/236412373702?_skw=laptop&itmmeta=01K8Y89AKN53WSZ76CAMG54C3B&hash=item370b468ac6:g:MDsAAeSwTKNo6S9p&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1drA0sHJLlPtKkJjaQJxUzsLH3f%2FNdyvjSxmrkoOqJ61EG2swgG6EMiJw%2BOMVb4BCq1tHrg81WZcgga%2FDFgzDa1P0FfflBnThh1XDHAe%2Fvn%2FAgsEv7CfCaHTpN2w3t2oJjnizNmbTaluIRnIoPqT31S1LNNi9hUCdTB5ofBKL%2FJ61prJZAcUSdeAl3NPCoYFG2U26gqt6PJHalZEl0vxWz8qEzUV1WUTDKsVObptfZmPXDc%2BoI5zAmeI8Lci7UWYqXlta%2FPXFqqAL6z1jDJSKoz%7Ctkp%3ABk9SR56qpcjHZg,$0.99,,,,,,,,
"DELL LATITUDE 7330 Laptop w/ Intel Core i5-1235U 1.30 GHZ + 8 GB No HD/Battery
Opens in a new window or tab",https://www.ebay.com/itm/205816749695?_skw=laptop&itmmeta=01K8Y89AKNH7ZWXB6F97NPHD0X&hash=item2feba25e7f:g:P28AAeSwslZpA723&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1coChTeqFiRnvNyw9gwthAYkyrA6ISK79C4bH6G8FHvdOSegmTesMMNvM3FTBIwH30C4G1msTG0HEzzgOwtNjbDQXYS9rTye2VxQ%2FQGfEKTT5%2BktPpDs9pIKQMm4r110TRZ4t7hI6GMCV3oJIHNasKFywElBV2S%2FDRnSAhbGRRtppm5c%2FFjCzaQ8AO3zhNWANwouXZfpmpmHCNTHhu0%2B%2B%2FpRdu6p5OYP1W3TuKj%2BPCu5g%3D%3D%7Ctkp%3ABk9SR56qpcjHZg,$135.00,Used,Does not apply,,,,"14""",,
"NEW LISTINGMicrosoft Surface Laptop 3 15"" Intel Core i7 16gb 256G SSD Win 11 Black
Opens in a new window or tab",https://www.ebay.com/itm/365954767329?_skw=laptop&itmmeta=01K8Y89AKNZX272DF2SMT4SHZS&hash=item55349a99e1:g:dIYAAeSwawBpBIBX&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d%2FHfNuaFlb1F%2BLXr%2BeVn8zt1NUsWk0CKKDh%2Brlp1kbkxZ6W3IhNJFNnCyFeUdC7z9iC4vKtGjIi7cdz1CE%2FmgEK3UEZ30uHMYnlgqLUCVFaNWog0cAuqc%2B1DLfQmvCBWhBuqsDAFQaioKGbfoe3h10OYR2chAHid%2FlVH9eiRYq5yNskspwGebC4UMauxRWUYVM1qU50MJhstSSGo6OHKvOXxkku63f7dmCGnqGznebNkjnv8lyKzSDSU6MIGZa189epH0ackmmzedQ%2FNNR48lB%7Ctkp%3ABk9SR56qpcjHZg,$149.00,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more
about the condition",Intel Core i7-10750H,256 GB,Intel HD Graphics,2019,15 in,16 GB,Microsoft Surface Laptop 3
"HP ProBook 650 G1 15.6"" Core i7-4610M 3.00GHz 8GB NO HDD NO OS Laptop
Opens in a new window or tab",https://www.ebay.com/itm/297723934332?_skw=laptop&epid=1041103596&itmmeta=01K8Y89AKN3ED17CEC5265FBS6&hash=item4551bab67c:g:dL8AAeSwCOBpA8Nl&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dGxorHWMoVrGLoZsjZcQGixFM9P3Bz1DNHJBdYjUuifasPWp2o0LNH0uEBrw29Fnm97vDcYKsfg%2BFNcS5L80Y5dflwCP87oI2kd0Z5r%2BY3osREfSpzmrZQ8bRtaFHpYok0Le3u8avCe4dHDCusEDzA5wuRwkcTXs8EABd%2BTmCFlqUlKw%2BhgjYUcG6bTcSa6GPKWm3HCbXvJCdfjiUM7LOzgqL1DDiCjLL%2FTMXn25lwbg%3D%3D%7Ctkp%3ABk9SR56qpcjHZg,$69.95,Used,Intel Core i7 4th Gen.,,Intel HD Graphics,,15.6 in,8 GB,HP ProBook
"NEW Gateway 14 Chromebook Laptop N4500, 4GB RAM, 128GB eMMC Black CBO314-1H-C4CU
Opens in a new window or tab",https://www.ebay.com/itm/388856572128?_skw=laptop&epid=20072898975&itmmeta=01K8Y89AKPXBQQTQ1BZK1RJKC5&hash=item5a89a868e0:g:WBkAAeSwWYFopMeD&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cM9SLKvkqavbwBSEtqJCiGXQZNzqDtF5F4QYSpe1tDKE%2B722DCozO1Ht%2B29IIXAF3QRFH6%2F5ja53hbjgNnfoUKFpznK5sUSxsN5iaU5NNgU%2Bv6S9UWu0TBVdE6srDUoDN78upAZUxpMI8kayITuh8hsk%2BFKqsv4eCsJl062RSb6p0sYUnzIYb3glDQ1BUc4iU5%2FHkINd9j7nWiKI7DprEqxycpHzC3EPk9l%2BuAXiVafw%3D%3D%7Ctkp%3ABlBMUJ6qpcjHZg,$169.99,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more
about the condition",Not Available,128 GB,Intel UHD Graphics,,14 in,4 GB,Samsung Chromebook 4+
"Dell Latitude 3420 Laptop PC Computer Core i3 14"" 8GB RAM 256GB SSD Windows 11
Opens in a new window or tab",https://www.ebay.com/itm/254648554969?_skw=laptop&itmmeta=01K8Y89AKPXW9P037ED01DC5EJ&hash=item3b4a3c95d9:g:AkIAAeSwaDFpAaMa&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cbbgO8rkwGaSowxA1ZKmYcAvVy2mqlHfSeSVD1AjacoJT4uamPIrFf5Vt%2BzUdXi%2BgLThgxbAHEfO3J4eGsrvbY6VgqL81JfCLUUu6hZ8iWYx5pIgu8EP%2FMd6fBJmXuoe%2F%2BW65QwROhnAUCFZY%2FfsBGXupmfZJwqsa6fbIIMN%2Bun4KSelklWDJYGSrlUu2k88uJVgG%2FQhliEgr6iVG22HN%2Bij0ROV0vRWdxSRJhnT3SSg%3D%3D%7Ctkp%3ABlBMUJ6qpcjHZg,$186.61,Good - Refurbished,Intel Core i3-1115G4,256 GB,Intel Iris Xe Graphics,2021,14 in,8 GB,Dell Latitude 3420
"Dell Latitude 3550 15.6"" i3-1315U@1.20GHz | 8GB RAM | 256GB SSD | Win 11 PRO
Opens in a new window or tab",https://www.ebay.com/itm/357790502451?_skw=laptop&itmmeta=01K8Y89AKPQ9X8JM0QXVHS5F8C&hash=item534df9ce33:g:hvMAAeSwFt1o98jG&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eIsFXZGzFBRHclGhz7y7pTjfUZu2Wj1FjJj4sq78vlMKAzStti%2BOt38IoKEUbs%2Ff5ZC%2B2XkuBzN7MED%2FvAY0QNyZelvQP%2FHW7o3J5ARoKuMZRQg5aCUUUfiS%2BBBGGrUuBCaASCyJnASxuwHl3qeEAa7peHzqwjuS06dS87Du2Bea4tagj6iQaeY7DpGCj87ICliAqCQH6ZRZspUhevBj6Us8we%2FeD%2Fi2b66tDSajiayg%3D%3D%7Ctkp%3ABk9SR56qpcjHZg,$155.50,,,,,,,,
"Dell Latitude E5450 14"" Laptop Intel Core i5 8GB RAM 128GB SSD Windows 10!! - DW
Opens in a new window or tab",https://www.ebay.com/itm/326841943651?_skw=laptop&epid=16052718676&itmmeta=01K8Y89AKP1Z5YV7NKS18G7KV4&hash=item4c194c4663:g:uEgAAeSwfuBpA74Z&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ezbol%2BQ8W3OWWuKcvFMqgCZMaoJWws5o5SA%2FsOr1qWHIkQpFIuFdLywbNyI1eLtZgHcf03TDjz6bXCMubb0ByWoo9cT3B4L4dak9Ll3zOMmTFVIIPeP7%2Bbj56G4XWfjH1QmW8l5O3Ngom0CVNtZTq97swGenYULt57faE27I4bkvO5ApMDYt3w%2FV0BwzLYUTXEbBgNR4QOv1XJH3S5pzjPk1ZNrLu1ZpODyKq5zWyJnueNKEinTwpIN5LbrAOxG3xxl8VBdqXxCbp4O65VaRmg%7Ctkp%3ABk9SR56qpcjHZg,$85.00,Used,Intel Core i5 5th Gen.,,Intel HD Graphics,,14 in,8 GB,Dell Latitude E5450
"Dell Latitude 3590 i5 8th Gen 8GB 256GB SSD Win11
Opens in a new window or tab",https://www.ebay.com/itm/365949739736?_skw=laptop&itmmeta=01K8Y89AKPXFEAJB7FFA39AYGE&hash=item55344de2d8:g:TDQAAeSwb81pASSG&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dHDqX4dWlZClMqgo%2B2W5RBDR%2BluWyy59QgbGmujcQXdf7jIvXPjnJHVdGL9ZUmC0n4St4MxTLmXgDUZrzlc69wx3PcjsaYolCjR4EsiWS%2Fk3%2BJEanliwRMa8o5UOEv97qVzowgXqmBWS1oqtijzX0%2BOsAhWj9BD1fNg5EsMhpeUYE3XvFgStzFXZoQVUBYGKMDE8vpi3FifjdaJIiUWiyc2YRghLgZR3%2B5ygr7H1YefKu28zF%2B21OsE0vrYEnwSsvxO5TE0ZQW3fSqIoytbkWu%7Ctkp%3ABk9SR56qpcjHZg,$99.99,"Good - Refurbished: The item shows moderate wear and is backed by a one year warranty. It is fully ... Read more
about the condition",Intel Core i5 8th Gen.,256 GB,Intel UHD Graphics 620,2018,15.6 in,8 GB,Dell Latitude 3590
"HP x360 830 G6 - 13"" 1920x1080 - i7-8565U - 8GB - 128GB SSD - Win 11 Pro - READ
Opens in a new window or tab",https://www.ebay.com/itm/177513239767?_skw=laptop&itmmeta=01K8Y89AKPSREG3F8NV3FT2FX8&hash=item29549d14d7:g:gWIAAeSwwt5o98EY&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1di0LrdYTmOIU9bd9PceY5z790tj8pdQYNZnrCO0XtcrWyDi5F%2B3kWJCoiq6uYjmak%2B4DHdydf%2BWEHSJTmVbDf4R5JPu92IteJtYtFLorST6zXjJ17m%2FuUVNFZRsh4VH1BimG187Benxg4K3wWWgsTckeaBGY01Zkrn0pGPTp%2FrZIVnSpAAxJwhzKvUZtCorT4qGYSCBjPAv9zMzC73%2Ffg2ZmzxvjkbukahnMjwXvuxZ8b4uneD%2BbyrbH0wnqCR53%2BVhkLK4jdxZy2pcYYiz5Pz%7Ctkp%3ABk9SR56qpcjHZg,$119.00,Used,i7-8565U,128 GB,,,13 in,8 GB,HP x360 830 G6
"Lenovo ThinkBook 13s G2 ITL Laptop 13.3"" i5 1135G7 8GB RAM 256GB SSD Win 10
Opens in a new window or tab",https://www.ebay.com/itm/397211325019?_skw=laptop&itmmeta=01K8Y89AKPQKF3YKZSPG6H5Q6G&hash=item5c7ba3d25b:g:LcMAAeSwoS1pA-tr&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eDk3zFBrRYWXiBA1lEDxWq%2Br9uBw1nkFPp4erNZ74GqpHC5ddikC4rPjxF%2F9iakv2z3bYjt8Ywfy2lWVwS3ujFeAL9vK%2B5CddkrRYWNdIRmK9HSc3hskWo8IuLXz%2FeEbsznHXMqYFJ2V%2Be1eWFKZ1vF5ZrKWj95bdXJB2E4GuJthJ1PvQRHvKQ2jl3QTbI1LyhPX0nDzmdMc8xDQsGdnJAnrG8ZHUZSGSS1O%2B%2FvtEZWGcTwTy2BaG1m92rpGlJKl%2Fd4VbV%2FC43vlKWQd6IDubD%7Ctkp%3ABk9SR56qpcjHZg,$185.99,Used,Intel Core i5 11th Gen.,256 GB,,,13.3 in,8 GB,Lenovo ThinkBook 13s G2 ITL
"Dell Inspiron 5575 15.5"" FHD AMD Ryzen 7 2700U 16GB 256GB SSD win11 PSU
Opens in a new window or tab",https://www.ebay.com/itm/376659545708?_skw=laptop&epid=13023879946&itmmeta=01K8Y89AKP239QK5S3M544E0JY&hash=item57b2a88e6c:g:0NwAAeSwDqdpAsg2&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cHMcSP%2FmJ4mdf4JxE5QDoAHES0WyAaZcpHRojWxwZ52yU6wEo%2FMr%2Fpqu9Bk%2F1ErvYJmSfmmm7Mb0RXBrv3yNmAeS40tWo6bUH7p6iyNmVBP%2FO5JcKWNFpqo3EULK%2BjWOBAau6FN%2BseIvS8uv9McG7WftxJ95SsifPB9%2Ff1Rm14kj0bTTkBmWk9E3PTjb%2FW0oI2PEwJ%2BN9zqvQdLkXgEyRe%2FL77a%2BaPmdsdofXBuRZZuQ%3D%3D%7Ctkp%3ABk9SR56qpcjHZg,$120.00,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more
about the condition",AMD Ryzen 7,256 GB,AMD Radeon Graphics,,15.5 in,16 GB,Dell 5575
"Dell Latitude 3590 Laptop i5-8250U 1.60GHz 8GB RAM 128GB SSD 15.6"" NO BATTERY
Opens in a new window or tab",https://www.ebay.com/itm/297718825861?_skw=laptop&itmmeta=01K8Y89AKPQCNQPK479TC6S7K4&hash=item45516cc385:g:N5QAAeSw2yFo5C~Y&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eSs6PiicV5Ap2wweTSeqjxMc0bLDRV7w9tX1G587gdE9GBoBD3nKoCER2MzPH8DN06QeWlnykDFZpXpAHfXE5aghBiZ794cOV0jETP4nEztc9Gm2UI6hPLcULb0NYFsrjxtOSrQfIXcUZSAtGtbdTG67fIJv94RCrZHDozWD6p9YF125YAprXuutjxNncwLKjjpZFOl0sqzsZ8R%2BbImnsRa9Xo8tXPkvd%2B%2FPXcWynSWw%3D%3D%7Ctkp%3ABk9SR56qpcjHZg,$59.95,Used,Intel Core i5 8th Gen.,128 GB,Intel UHD Graphics 620,2017,15.6 in,8 GB,Dell Latitude 3590
"HP Pavilion dm4 14"" Intel Core i5-3210M 2.50GHz 6GB NO HDD NO OS Laptop Beats
Opens in a new window or tab",https://www.ebay.com/itm/306575173931?_skw=laptop&itmmeta=01K8Y89AKP4D80CCJYPF57VFC1&hash=item47614de92b:g:k2kAAeSwXGRpA3mi&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dsYgSeDSXSffquv6WUXhgAJLi8kjF9Rd2dGqwzCTEleWD0nYN0UNckujfkgN3vV0BowSiqtsPa4eIb4ogcshVoEvNPnsE6lB90G33K9zP0%2FQoMnEIPq9QJmU8Wc4H4Dt%2FID%2BtkROKXolzO0bYQdUG0Wn862y9pkxaSt3zDJWataks%2BZ03X%2FuKGxDT8HBztvnQFoVsY1U0P8p9m%2FmmA4shuwyRh8jAlWgEDkv0h6%2FEb5A%3D%3D%7Ctkp%3ABk9SR56qpcjHZg,$39.95,Used,Intel Core i5 3rd Gen.,,Intel HD Graphics 3000,,14 in,6 GB,HP DM4
"Dell Latitude 3301 Laptop 13” HD 8GB RAM 256GB SSD Intel Core i5 Windows 11 WiFi
Opens in a new window or tab",https://www.ebay.com/itm/256696935114?_skw=laptop&itmmeta=01K8Y89AKP7CMN2P0SYCMCK8CY&hash=item3bc45462ca:g:6l0AAeSwHb1pAaDO&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1efqY0BjqfqeZgCd3atAwfexJwww2LeZOsGZyI3RMk2ezglUI8R%2FW9SuYAFKGSYE%2Bg8kOOrgXajvYFoHoOJOHdh2LS1tzhH9V0ekBlW07ZbA8%2FzjFZU50gAvmCyjmCe%2FdrsFCbxjHAxwU9OuuS6IGljNyyUlLN4itSIErl%2FtHrSDz6cvxb65hbFeOh5DJORQ86odqwTlQz4Px8vrldT81HiOKgcgYDIp%2FUwo7zUXBICFRPEY7vK7gmbk--HrraJrdfSi6uQmx%2Fu7PLNQ3%2BaHpMT%7Ctkp%3ABk9SR6CqpcjHZg,$159.21,Very Good - Refurbished,Intel Core i5-8265U,256 GB,Intel UHD Graphics,2018,13.3 in,8 GB,Dell Latitude 3301
"NEW LISTINGASUS 14"" (240GB SSD, Intel Celeron, 1.10GHz, 4GB Ram) Laptop-Black With Charger
Opens in a new window or tab",https://www.ebay.com/itm/205817460911?_skw=laptop&itmmeta=01K8Y89AKPJE4PQ1RVBPF1DY1A&hash=item2febad38af:g:jHkAAeSwPiRpBDIG&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dex%2BoU7cSGW94KY7LFGD7rcMul5WdW8aiK9KAH9DYo8Y5egA7yka44qKfDFa2OP6mIEsF85PyUEjNV0zLs7w2%2Byo6%2BDaP6ojvDWk2XHH8Fhb%2BYzirm7Sird1PVQ1FMb4UJAXZ%2BJ2X52Hi%2BuNe41KtldqmNJfkY9scSwy37tqoMW1Juhs4iMLcNtNQNXoqMZ%2BcesHLfOKukj5gtVt%2FXG1yvE8bJ6bCUd2ZwKhfhx8CB9V4p%2BpFCI1%2B9IWvfZT7j08xliJEM0NgrXp2HfsDB6U2T%7Ctkp%3ABk9SR6CqpcjHZg,$65.99,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more
about the condition",Intel Celeron N,240GB,Intel HD Graphics 5000,,14 in,4 GB,Asus E410M
